Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2026-05-18,297.5833435058594,300.4009207908792,294.6558756451712,299.98126929450746,34483000,293.14909973144535,282.36422424316413,266.55396759033204,292.4804773479112,284.643715044837,266.55396759033204,72.6832093915531,9.797383753990573,1.2146836248186386,8.582700129171934
2026-05-19,298.7123718261719,300.2510533099592,296.09463441963413,296.7140952726279,42243600,294.6529602050781,284.01504974365236,267.33987396240235,293.6135490712313,285.9835871192498,267.8150814819336,73.4710033464359,9.708524056612305,0.9006591419522962,8.807864914660009
2026-05-20,301.98956298828125,302.5390768782648,297.82314269813475,297.9230626302997,38229800,296.1521301269531,285.48035736083983,268.1723580932617,295.1364606925131,287.5079657734433,269.1552572272806,75.66481456372298,9.789694539613947,0.7854636999631506,9.004230839650797
2026-05-21,304.7271728515625,305.27671719779084,300.1411318265125,300.80056674721834,42965100,297.9320495605469,287.06957092285154,269.0599935913086,296.880226539613,289.14789025707364,270.5502343105858,77.34983171638963,9.960111009240336,0.7647041356716304,9.195406873568706
2026-05-22,308.55389404296875,311.13165741506583,305.5764509618376,305.85620846339293,43670200,299.50769042968756,288.96840972900384,270.1249835205079,299.0027115402231,290.9960810938256,272.0405739079342,79.48789183212412,10.28538815587757,0.871985025847092,9.413403130030478
2026-05-26,308.0643005371094,311.5513139598484,307.4048960873393,309.2932516306072,48000500,301.0713409423828,291.0149612426758,271.2927807617188,300.6502731760206,292.6216258027098,273.4532690698626,78.46734961903793,10.383966630343878,0.7764508002507196,9.607515830093158
2026-05-27,310.5821533203125,312.9900803339556,308.0343323058515,308.0643052358437,50430900,302.6749603271484,293.03268127441413,272.45703094482417,302.4560695658919,294.33215223295764,274.9093037463508,79.89681681384381,10.543719028881071,0.7489625590303302,9.794756469850741
2026-05-28,312.24072265625,312.5304508120942,309.30325358892543,310.412282475935,48220400,304.0377868652344,295.1602813720703,273.6263031005859,304.2350974005024,296.03773036850924,276.3732809585037,80.80097388859197,10.681032347651637,0.709020702240716,9.972011645410921
2026-05-29,311.7911071777344,314.7285763294451,309.2632884033746,311.5113496628706,70026800,305.4215942382813,297.20650482177734,274.8722299194336,305.6089173599991,297.5380519693878,277.7622153200422,79.75379062133953,10.631026079483092,0.5272115472577354,10.103814532225357
2026-06-01,306.0460510253906,310.6720662449624,304.7571540774977,309.363197507879,48849900,306.02906799316406,298.5267578125,276.0228204345703,305.6883962082521,298.34833759376903,278.8713853477029,67.68329036777217,10.01240100731809,-0.07313081992581338,10.085531827243903
2026-06-02,314.92840576171875,315.1781903378333,306.42572903356995,307.1950545511415,44534700,307.76357421874997,300.45633697509766,277.3704238891602,307.368397945246,299.9273917050023,280.2853861482526,74.18783487389354,10.12218571883534,0.02932311327314885,10.09286260556219
2026-06-03,309.9926452636719,316.6668815001487,308.5838566628498,313.9092501546009,50836700,308.8916015625,301.77228088378905,278.5494366455078,307.8455338213234,300.8859872820185,281.45037670179846,66.21263997570867,9.699110957714538,-0.3150013182781226,10.01411227599266
2026-06-04,310.9618225097656,313.26982953176514,309.3831669286496,312.96009909963743,44869100,309.7888275146484,302.97047882080074,279.74483856201164,308.4121317646765,301.84559063704205,282.6076883021109,66.96363097513333,9.334424233359925,-0.5437504341061885,9.878174667466114
2026-06-05,307.0751647949219,314.8984348439246,306.8853260765596,312.5903972939029,65310500,310.0236267089844,303.97783813476553,280.84294219970695,308.1690468610847,302.3436453187449,283.5671971841819,61.09860997021902,8.63227904205911,-0.9967165003256024,9.628995542384713
2026-06-08,301.2801818847656,317.1265012321255,300.9105055796523,308.4739595974908,77949100,309.2962554931641,304.4019729614257,281.8197555541992,306.91652595629944,302.24236308693736,284.2618240351852,53.565469880834065,7.5215138988672265,-1.6859853148139887,9.207499213681215
2026-06-09,290.29962158203125,300.4908444635933,287.5320194610898,300.0212482417878,70108800,307.5197875976563,304.2955642700195,282.6586120605469,303.8952706155234,301.10495913408914,284.49860040957134,42.79777124315068,5.68959891752877,-2.814320236921958,8.503919154450728
2026-06-10,291.3287353515625,294.4960172141002,287.1323727394638,290.4894628291428,52793300,305.5944458007813,304.1347030639648,283.5613735961914,301.6104460220759,300.17389020241995,284.766448838669,43.93527089508189,4.271593703878295,-3.3858603604579454,7.657454064336241
2026-06-11,295.375244140625,296.7440586571729,289.3404406054596,293.4668864344149,42572500,303.90789794921875,303.9728424072266,284.40212036132806,300.47677295272115,299.71687629177285,285.182480026981,48.289569956096855,3.434740249531785,-3.378171051843565,6.81291130137535
2026-06-12,290.879150390625,296.88398158337014,289.3704417369658,295.7749221682621,38742100,301.81670227050785,303.6191482543946,285.11621063232417,298.7317506687037,298.8751881107111,285.40587886477095,44.18348398972499,2.381280745419474,-3.5453044447647013,5.926585190184175
2026-06-15,296.1645812988281,297.5233947188816,291.4486474146935,293.8665449684006,45732600,300.82855529785155,303.4288116455079,285.93022003173826,298.26499260145357,298.617035081008,285.82778876414574,49.60805666446946,1.9504134486021485,-3.180937393265622,5.1313508418677705
2026-06-16,298.9821472167969,300.2210994929347,293.71669913987887,294.99559499590845,39874400,299.2339294433594,303.49875183105473,286.7418856811523,298.3953843496978,298.65180766536884,286.34364595836735,52.27100920921017,1.8153755149381823,-2.652780261543671,4.468155776481853
2026-06-17,295.6949768066406,301.8096980081642,294.10632015937927,300.59074812548096,42745100,297.8041625976563,303.34788208007814,287.5948168945312,297.904401160051,298.37020472644235,286.7103648151624,49.01655671068177,1.4266641038222474,-2.433193338127685,3.8598574419499325
2026-06-18,297.7532043457031,300.31099586682666,295.3652492546472,297.8530937792582,85962200,296.48330078124997,303.13606414794924,288.3811047363281,297.87691083016955,298.31144278541956,287.14341734577187,51.070750697903385,1.2700489375019401,-2.071846803558394,3.341895741060334
2026-06-22,296.75408935546875,302.1594314563154,296.5043047694293,297.05381866220307,44879900,295.4511932373047,302.73740997314457,289.11566711425775,297.672761471133,298.1631234111385,287.52030644419136,50.01724038666638,1.053169774497178,-1.8309807732505252,2.884150547747703
2026-06-23,294.04638671875,301.3800886038737,293.9264950024863,297.2836155142734,52010900,294.7278137207031,302.0120346069336,289.79627502441406,297.0134206070634,297.7710532499586,287.7762311608407,47.17692630265001,0.6552491968549248,-1.7831210807142228,2.4383702775691476
2026-06-24,292.8274230957031,299.4417438827621,292.68755959702736,295.1054570720635,53081900,294.9805938720703,301.2501907348633,290.4780578613281,296.2523301504524,297.30023133050565,287.97431711907063,45.91290080600201,0.23878156983397503,-1.759670966188138,1.998452536022113
2026-06-25,274.91290283203125,288.55113481081804,273.5141152813601,287.1523472601469,107013700,293.33901062011716,299.4667282104492,290.80893737792974,292.3724342743758,295.1681048068414,287.4621047940887,32.2408912906806,-1.5193104275816722,-2.8142103708830284,1.294899943301356
2026-06-26,283.53546142578125,285.70360492137456,273.9737007161028,274.7630284991681,261775500,292.15503234863286,298.0314651489258,291.1605389404297,290.76571193826766,294.0602340086452,287.30811877964527,41.30119099522755,-2.1915794217525786,-2.789183492043148,0.5976040702905692
