Date,open,high,low,close,volume,dividends,stock_splits,,
2026-08-05 00:00:00-04:00,29777.25,30074,29530.75,29615,567073,0,0,,
2026-08-06 00:00:00-04:00,29569.5,29686.25,29241.25,29488.25,556323,0,0,,
2026-08-07 00:00:00-04:00,29514.25,29867.75,29453.5,29834.75,556323,0,0,,
2026-08-10 00:00:00-04:00,29851.25,29984,29718.75,29748.75,385031,0,0,,
