Date,Close,SMA_10,SMA_50,signal,position,returns,strategy_returns,cum_returns,cum_strategy_returns
2026-03-09,259.41705322265625,,,0,0.0,0.0,0.0,1.0,1.0
2026-03-10,260.3653564453125,,,0,0.0,0.003655516130785408,0.0,1.0036555161307854,1.0
2026-03-11,260.34539794921875,,,0,0.0,-7.665572857407099e-05,-0.0,1.003578580185959,1.0
2026-03-12,255.3043975830078,,,0,0.0,-0.01936274044373243,-0.0,0.9841465486229287,1.0
2026-03-13,249.6744384765625,,,0,0.0,-0.022051947243152514,-0.0,0.9624442008531653,1.0
2026-03-16,252.36964416503903,,,0,0.0,0.010794880344667579,0.0,0.9728336708397944,1.0
2026-03-17,253.7771148681641,,,0,0.0,0.00557702059525278,0.0,0.9782591842578233,1.0
2026-03-18,249.4947662353516,,,0,0.0,-0.01687444762321122,-0.0,0.9617516008911393,1.0
2026-03-19,248.5165252685547,,,0,0.0,-0.00392088772665522,-0.0,0.9579806808431143,1.0
2026-03-20,247.54823303222656,253.6812927246094,,0,0.0,-0.003896289131202657,-0.0,0.9542481111284431,1.0
2026-03-23,251.04200744628903,252.84378814697268,,0,0.0,0.014113509804804858,0.0,0.9677159012010709,1.0
2026-03-24,251.1917266845703,251.92642517089843,,0,0.0,0.0005963911769359953,0.0,0.9682930384263279,1.0
2026-03-25,252.16998291015625,251.1088836669922,,0,0.0,0.003894460372950048,0.0,0.9720640172938826,1.0
2026-03-26,252.43951416015625,250.82239532470703,,0,0.0,0.001068847476965784,0.0,0.9731030054662164,1.0
2026-03-27,248.35679626464844,250.6906311035156,,0,0.0,-0.016173054004998577,-0.0,0.9573649580063849,1.0
2026-03-30,246.190658569336,250.0727325439453,,0,0.0,-0.00872187807175695,-0.0,0.9490149375724805,1.0
2026-03-31,253.33790588378903,250.0288116455078,,0,0.0,0.029031350563774927,0.0,0.9765661229154061,1.0
2026-04-01,255.1746368408203,250.5967987060547,,0,0.0,0.007250122916362178,0.0,0.9836463473424981,1.0
2026-04-02,255.464111328125,251.2915573120117,,0,0.0,0.0011344171618641319,0.0,0.9847622126401284,1.0
2026-04-06,258.3988647460937,252.37662048339843,,0,0.0,0.011487928393195013,0.0,0.9960750904232625,1.0
2026-04-07,253.0484161376953,252.57726135253907,,0,0.0,-0.020706161436335302,-0.0,0.9754501987982461,1.0
2026-04-08,258.4388122558594,253.30196990966795,,0,0.0,0.02130183701774646,0.0,0.9962290799519747,1.0
2026-04-09,260.0259704589844,254.0875686645508,,0,0.0,0.0061413306665165646,0.0,1.0023472521515593,1.0
2026-04-10,260.0159912109375,254.84521636962887,,0,0.0,-3.837788982874457e-05,-0.0,1.002308784179146,1.0
2026-04-13,258.73828125,255.88336486816405,,0,0.0,-0.004913966848681062,-0.0,0.9973834720415479,1.0
2026-04-14,258.3689270019531,257.1011917114258,,0,0.0,-0.0014275206833038734,-0.0,0.9959596865060232,1.0
2026-04-15,265.95538330078125,258.362939453125,,0,0.0,0.029362881933440832,0.0,1.0252039331913663,1.0
2026-04-16,262.9307861328125,259.13855438232423,,0,0.0,-0.011372573588962043,-0.0,1.0135447260174542,1.0
2026-04-17,269.7486267089844,260.56700592041017,,0,0.0,0.025930172257302875,0.0,1.0398261153535675,1.0
2026-04-20,272.5635681152344,261.9834762573242,,0,0.0,0.010435424419368289,0.0,1.050677142189625,1.0
2026-04-21,265.69586181640625,263.2482208251953,,0,0.0,-0.025196714096157535,-0.0,1.0242035306305053,1.0
2026-04-22,272.68341064453125,264.67268066406245,,0,0.0,0.026299050276339386,0.0,1.0511391107757613,1.0
2026-04-23,272.9429016113281,265.96437377929686,,0,0.0,0.0009516199250387825,0.0,1.052139395697563,1.0
2026-04-24,270.5771179199219,267.02048645019534,,0,0.0,-0.008667687188198547,-0.0,1.0430197805372763,1.0
2026-04-27,267.1332702636719,267.8599853515625,,0,0.0,-0.012727786010601316,-0.0,1.0297444479657736,1.0
2026-04-28,270.2277526855469,269.0458679199219,,0,0.0,0.011584039752220443,0.0,1.0416730485856374,1.0
2026-04-29,269.688720703125,269.41920166015626,,0,0.0,-0.001994732136373578,-0.0,1.0395951898800293,1.0
2026-04-30,270.8666381835937,270.2127868652344,,0,0.0,0.0043676927881806105,0.0,1.0441358222934956,1.0
2026-05-01,279.6409912109375,271.2020233154297,,0,0.0,0.032393627676644776,0.0,1.0779591693647184,1.0
2026-05-04,276.3368225097656,271.5793487548828,,0,0.0,-0.011815752357562936,-0.0,1.0652222707679406,1.0
2026-05-05,283.6737670898437,273.3771392822265,,0,0.0,0.02655073078369341,0.0,1.0935047005038947,1.0
2026-05-06,286.99786376953125,274.8085845947266,,0,0.0,0.011718026357490974,0.0,1.1063184174064395,1.0
2026-05-07,286.927978515625,276.20709228515625,,0,0.0,-0.0002435044393305219,-0.0,1.1060490239604879,1.0
2026-05-08,292.7974853515625,278.42912902832035,,0,0.0,0.020456376775462637,0.0,1.1286747795267562,1.0
2026-05-11,292.42779541015625,280.9585815429687,,0,0.0,-0.0012626131025762488,-0.0,1.1272496999615784,1.0
2026-05-12,294.54595947265625,283.39040222167966,,0,0.0,0.007243374589372076,0.0,1.1354147917941575,1.0
2026-05-13,298.6124572753906,286.28277587890625,,0,0.0,0.013805987391627639,0.0,1.1510903140939353,1.0
2026-05-14,297.9530334472656,288.9914154052735,,0,0.0,-0.002208293097152536,-0.0,1.1485483692991225,1.0
2026-05-15,299.9713134765625,291.024447631836,,0,0.0,0.006773819369938039,0.0,1.1563284284903916,1.0
2026-05-18,297.5833435058594,293.14909973144535,266.55396759033204,1,1.0,-0.007960661114649215,-0.0,1.1471232897339447,1.0
