Price,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,
2026-03-09,213.49000549316406,213.82000732421875,207.11000061035156,210.4499969482422,54642900
2026-03-10,214.3300018310547,215.64999389648438,212.42999267578125,214.19000244140625,35678800
2026-03-11,212.64999389648438,217.0,211.35000610351562,215.7100067138672,34199300
2026-03-12,209.52999877929688,211.7100067138672,208.14999389648438,210.38999938964844,44349500
2026-03-13,207.6699981689453,210.55999755859375,206.22000122070312,209.61000061035156,35662100
2026-03-16,211.74000549316406,212.72000122070312,207.4499969482422,208.35000610351562,42209300
2026-03-17,215.1999969482422,215.6999969482422,212.42999267578125,212.82000732421875,44969900
2026-03-18,209.8699951171875,215.13999938964844,208.8300018310547,213.92999267578125,37846600
2026-03-19,208.75999450683594,209.1199951171875,206.0500030517578,207.05999755859375,36440600
2026-03-20,205.3699951171875,207.5399932861328,204.32000732421875,207.39999389648438,63694600
2026-03-23,210.13999938964844,212.8000030517578,209.50999450683594,209.7899932861328,44277400
2026-03-24,207.24000549316406,209.35000610351562,206.63999938964844,207.9499969482422,35351400
2026-03-25,211.7100067138672,213.07000732421875,209.89999389648438,211.55999755859375,36388800
2026-03-26,207.5399932861328,212.88999938964844,207.1199951171875,210.61000061035156,46746000
2026-03-27,199.33999633789062,206.60000610351562,199.13999938964844,206.4600067138672,56009800
2026-03-30,200.9499969482422,203.8000030517578,199.97999572753906,201.47999572753906,46373800
2026-03-31,208.27000427246094,210.27999877929688,204.13999938964844,204.85000610351562,58470100
2026-04-01,210.57000732421875,213.5800018310547,208.19000244140625,210.44000244140625,45955400
2026-04-02,209.77000427246094,212.2100067138672,204.89999389648438,206.5399932861328,31453000
2026-04-06,212.7899932861328,212.9499969482422,209.58999633789062,209.8000030517578,25385500
2026-04-07,213.77000427246094,213.97000122070312,209.0800018310547,211.24000549316406,28154600
2026-04-08,221.25,226.10000610351562,219.6199951171875,223.7899932861328,51092700
2026-04-09,233.64999389648438,233.8000030517578,223.27000427246094,225.22999572753906,65964200
2026-04-10,238.3800048828125,240.42999267578125,235.2100067138672,235.3000030517578,56912800
2026-04-13,239.88999938964844,240.0,235.75,237.4499969482422,42166200
2026-04-14,249.02000427246094,252.17999267578125,241.77999877929688,241.77999877929688,72685000
2026-04-15,248.5,250.44000244140625,247.1999969482422,249.25,43045200
