Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2026-06-10,353.09075927734375,366.07232109037716,352.5810804263011,360.8157242279003,19878600
2026-06-11,356.32867431640625,357.7777458079135,343.4070701526502,352.8209417182837,28771800
2026-06-12,357.9276428222656,364.536359142257,353.11076253886233,360.86573789984163,17637100
2026-06-15,366.8717956542969,370.4095073574076,364.41340030023304,365.75252721660206,17268600
2026-06-16,370.8592529296875,373.35763104091177,365.0830039564481,367.2266013966779,16492800
2026-06-17,361.8650817871094,369.9098468851114,359.9962998909028,366.8118520127541,16003500
2026-06-18,367.2215881347656,368.76059754193386,356.3766390201627,363.6539274832002,29339100
2026-06-22,348.5537109375,357.96761267730585,340.7188011752651,356.9033012075861,32211200
2026-06-23,345.8554382324219,348.49373995052684,339.4945778178738,339.88433941168455,21820900
2026-06-24,344.816162109375,352.6010863494152,341.27845016274597,348.49376737145667,23898400
2026-06-25,341.9679870605469,342.96733825321974,335.68205951925677,336.70141725436105,27687600
2026-06-26,334.4728698730469,343.8967447726341,333.47351863030514,340.75879772927055,82484600
2026-06-29,351.0520935058594,351.74164828387563,338.5901826377179,339.7294576614939,25565700
2026-06-30,353.1007385253906,355.1594300113185,347.8841241530446,350.73228111168817,21278400
2026-07-01,357.6578063964844,359.3267057787508,353.00082626467815,354.3849069025458,19546800
2026-07-02,355.94891357421875,360.75579054789137,350.09273000877016,355.9189342572474,15532900
2026-07-06,364.6632385253906,365.4427312238338,353.9601959550584,357.9626023000986,22652700
2026-07-07,363.38409423828125,370.6493972962346,362.18489104489277,366.99673922381135,16443900
2026-07-08,358.4772644042969,364.7432160166469,354.4698867861636,361.9749936432444,14710400
2026-07-09,356.00885009765625,356.4985529081466,348.43378166816143,350.8571960498755,17217400
2026-07-10,354.7996520996094,355.4492242741649,350.47247486186035,354.72371263228024,11618500
2026-07-13,350.4425048828125,355.5191956490239,349.5930502483258,353.7603277468189,10583500
2026-07-14,357.09814453125,357.64780598014937,348.61366275331056,348.61366275331056,11252600
2026-07-15,369.96978759765625,371.89855853141523,355.4392435642338,355.7790193018334,20258200
2026-07-16,353.5804443359375,374.1071264480638,351.44184863462243,371.92854815951733,23603700
2026-07-17,345.89544677734375,347.9441351207845,340.90369220643186,345.54566774331437,22023900
2026-07-20,351.14202880859375,359.25675573174533,349.77792416999904,349.9428256585718,13203300
2026-07-21,345.96539306640625,350.5124288101904,345.78551717054967,350.3325529143338,17419500
2026-07-22,341.68817138671875,349.2232879506103,341.41835754275996,346.95474121510307,23273800
2026-07-23,318.1334533691406,324.2395049836125,314.685710070931,321.4213273153947,46751900
2026-07-24,318.8829650878906,323.7698070080797,317.29400036782914,318.0934691145268,21630800
2026-07-27,326.3581237792969,329.8868386688282,324.199521560133,324.5292940321348,21419600
2026-07-28,332.38421630859375,334.99250831020606,324.329448050025,327.58731223420995,20986900
2026-07-29,335.54217529296875,341.75814109954746,330.1936273144943,333.283631777109,20242900
2026-07-30,333.4635009765625,335.23237211850426,329.6060199848839,332.86388415722257,17309500
2026-07-31,356.4186096191406,358.6471738383599,338.9399663883276,339.84937966618537,30514500
2026-08-03,372.22833251953125,375.8559821561161,363.0243167582418,365.0629711921722,27165400
2026-08-04,375.1064758300781,377.423971487155,365.9224359403464,366.28218773035394,19983300
2026-08-05,359.8963623046875,381.5622895893216,354.92958548595794,379.75346630804506,29436300
2026-08-06,356.38861083984375,361.7251424499833,355.5991148729006,358.5591986622751,16513400
2026-08-07,353.24066162109375,357.31800100269635,352.59108945584387,355.04948481096045,14516700
2026-08-10,355.609130859375,355.6990688085296,351.2419709519004,354.0101628240319,12789500
2026-08-11,342.7774658203125,354.7696803679619,342.3477521184886,353.7703291556578,18390200
2026-08-12,342.1478576660156,345.2758317303664,339.59952436320935,345.1059286112164,15608800
2026-08-13,343.71685791015625,345.605615839876,342.17784850602186,344.3464540526557,14997800
2026-08-14,343.3171081542969,347.8341644460391,341.84806072016346,344.03664221382707,10946800
2026-08-17,341.2284851074219,344.82612508896136,339.349699940568,343.8367771438159,12606100
2026-08-18,341.0585632324219,342.16785888071183,337.30099310528044,339.67445211423,14254300
2026-08-19,341.47833251953125,343.337111195774,337.83067607808385,339.5895440280784,13360500
2026-08-20,337.9805908203125,340.5788795634708,335.9519090875298,339.4696143612764,14187700
2026-08-21,341.52825927734375,343.06726860468655,337.5908132631171,340.0592118507386,15363900
2026-08-24,344.3664245605469,347.8541504711519,339.39964790241993,340.5189163609649,16450600
2026-08-25,343.11724853515625,346.47508453547886,341.9230164927531,345.74554715649305,14031000
2026-08-26,338.8800048828125,342.96835414056403,336.7913644922452,342.95734444236746,16176400
2026-08-27,337.4908752441406,338.59016763122645,335.1823764801491,336.08178643402755,17936100
2026-08-28,342.65753173828125,345.20586500548376,337.06115912446904,337.3909315893229,17841900
2026-08-31,335.1923828125,340.40899718997184,333.2136564976735,339.7993771115657,23202000
2026-09-01,331.8145751953125,333.73334290375817,329.0763626874036,332.03443367755335,16313400
2026-09-02,333.5634460449219,336.2916858306205,329.30620012604203,330.5553891400064,12995900
2026-09-03,338.8599853515625,340.6288564621656,336.09179355680203,336.29167599230016,12858300
2026-09-04,335.30999755859375,340.17999267578125,333.75,339.17999267578125,12700500
2026-09-08,335.3800048828125,336.4800109863281,330.3900146484375,331.989990234375,14122100
2026-09-09,327.6700134277344,328.989990234375,325.6300048828125,328.8868103027344,6130365
